      name:  Changes to evnttype from version 1.2 to version 1.3
  log type:  text
 opened on:  22 Apr 2020, 14:24:38

       
       +------------------------------------------------------------------------+
       |                               country   year    old_etype    new_etype |
 9647. |           Korea, People'S Republic Of   2013    non-event    amendment |
       |------------------------------------------------------------------------|
 9730. |                                Kosovo   2012    non-event    amendment |
 9731. |                                Kosovo   2013    non-event    amendment |
 9738. |                                Kuwait   1961      interim    non-event |
 9829. |                                  Laos   1957    non-event    amendment |
 9933. |                                Latvia   2009    non-event    amendment |
       |------------------------------------------------------------------------|
 9937. |                                Latvia   2013    non-event    amendment |
10025. |                               Lesotho   1971    amendment   samendment |
10026. |                               Lesotho   1972    amendment   samendment |
10027. |                               Lesotho   1973    amendment   samendment |
10028. |                               Lesotho   1974    amendment   samendment |
       |------------------------------------------------------------------------|
10029. |                               Lesotho   1975    amendment   samendment |
10044. |                               Lesotho   1990    amendment   samendment |
10045. |                               Lesotho   1991    amendment   samendment |
10065. |                               Lesotho   2011    non-event    amendment |
10208. |                               Liberia   1981    amendment   samendment |
       |------------------------------------------------------------------------|
10328. |                                 Libya   2013    non-event    amendment |
10534. |                         Liechtenstein   2005    non-event    amendment |
10536. |                         Liechtenstein   2007    non-event    amendment |
10537. |                         Liechtenstein   2008    non-event    amendment |
10538. |                         Liechtenstein   2009    non-event    amendment |
       |------------------------------------------------------------------------|
10539. |                         Liechtenstein   2010    non-event    amendment |
10540. |                         Liechtenstein   2011    non-event    amendment |
10886. |                 Madagascar (Malagasy)   1982    non-event    amendment |
10892. |                 Madagascar (Malagasy)   1988    non-event    amendment |
10911. |                 Madagascar (Malagasy)   2007    non-event    amendment |
       |------------------------------------------------------------------------|
10972. |                                Malawi   2012    non-event    amendment |
11341. |                             Mauritius   2001    non-event    amendment |
12163. |                            Montenegro   2013    non-event    amendment |
12468. |                       Myanmar (Burma)   1951    non-event    amendment |
12478. |                       Myanmar (Burma)   1961    non-event    amendment |
       |------------------------------------------------------------------------|
12841. |                                 Nepal   2011    non-event    amendment |
12842. |                                 Nepal   2012    non-event    amendment |
12875. |                           Netherlands   1814    non-event          new |
12876. |                           Netherlands   1815          new    amendment |
13008. |                           Netherlands   1947    amendment    non-event |
       |------------------------------------------------------------------------|
13081. |                           New Zealand   1907    non-event    amendment |
13083. |                           New Zealand   1909    non-event    amendment |
13084. |                           New Zealand   1910    non-event    amendment |
13085. |                           New Zealand   1911    non-event    amendment |
13087. |                           New Zealand   1913    non-event    amendment |
       |------------------------------------------------------------------------|
13091. |                           New Zealand   1917    non-event    amendment |
13097. |                           New Zealand   1923    non-event    amendment |
13099. |                           New Zealand   1925    non-event    amendment |
13101. |                           New Zealand   1927    non-event    amendment |
13102. |                           New Zealand   1928    non-event    amendment |
       |------------------------------------------------------------------------|
13104. |                           New Zealand   1930    non-event    amendment |
13107. |                           New Zealand   1933    non-event    amendment |
13109. |                           New Zealand   1935    non-event    amendment |
13110. |                           New Zealand   1936    non-event    amendment |
13123. |                           New Zealand   1949    non-event    amendment |
       |------------------------------------------------------------------------|
13124. |                           New Zealand   1950    non-event    amendment |
13126. |                           New Zealand   1952    non-event    amendment |
13127. |                           New Zealand   1953    non-event    amendment |
13128. |                           New Zealand   1954    non-event    amendment |
13129. |                           New Zealand   1955    non-event    amendment |
       |------------------------------------------------------------------------|
13130. |                           New Zealand   1956    non-event    amendment |
13131. |                           New Zealand   1957    non-event    amendment |
13132. |                           New Zealand   1958    non-event    amendment |
13133. |                           New Zealand   1959    non-event    amendment |
13134. |                           New Zealand   1960    non-event    amendment |
       |------------------------------------------------------------------------|
13135. |                           New Zealand   1961    non-event    amendment |
13137. |                           New Zealand   1963    non-event    amendment |
13139. |                           New Zealand   1965    non-event    amendment |
13142. |                           New Zealand   1968    non-event    amendment |
13143. |                           New Zealand   1969    non-event    amendment |
       |------------------------------------------------------------------------|
13146. |                           New Zealand   1972    non-event    amendment |
13148. |                           New Zealand   1974    non-event    amendment |
13149. |                           New Zealand   1975    non-event    amendment |
13151. |                           New Zealand   1977    non-event    amendment |
13152. |                           New Zealand   1978    non-event    amendment |
       |------------------------------------------------------------------------|
13153. |                           New Zealand   1979    non-event    amendment |
13154. |                           New Zealand   1980    non-event    amendment |
13155. |                           New Zealand   1981    non-event    amendment |
13156. |                           New Zealand   1982    non-event    amendment |
13157. |                           New Zealand   1983    non-event    amendment |
       |------------------------------------------------------------------------|
13159. |                           New Zealand   1985    non-event    amendment |
13162. |                           New Zealand   1988    non-event    amendment |
13163. |                           New Zealand   1989    non-event    amendment |
13165. |                           New Zealand   1991    non-event    amendment |
13166. |                           New Zealand   1992    non-event    amendment |
       |------------------------------------------------------------------------|
13167. |                           New Zealand   1993    non-event    amendment |
13168. |                           New Zealand   1994    non-event    amendment |
13169. |                           New Zealand   1995    non-event    amendment |
13170. |                           New Zealand   1996    non-event    amendment |
13171. |                           New Zealand   1997    non-event    amendment |
       |------------------------------------------------------------------------|
13172. |                           New Zealand   1998    non-event    amendment |
13174. |                           New Zealand   2000    non-event    amendment |
13175. |                           New Zealand   2001    non-event    amendment |
13176. |                           New Zealand   2002    non-event    amendment |
13177. |                           New Zealand   2003    non-event    amendment |
       |------------------------------------------------------------------------|
13178. |                           New Zealand   2004    non-event    amendment |
13180. |                           New Zealand   2006    non-event    amendment |
13181. |                           New Zealand   2007    non-event    amendment |
13182. |                           New Zealand   2008    non-event    amendment |
13183. |                           New Zealand   2009    non-event    amendment |
       |------------------------------------------------------------------------|
13184. |                           New Zealand   2010    non-event    amendment |
13185. |                           New Zealand   2011    non-event    amendment |
13186. |                           New Zealand   2012    non-event    amendment |
13187. |                           New Zealand   2013    non-event    amendment |
